Source	Type	Identifier	Title	DateEarliest	DateLatest	RelationAttachments	RelationURLs	CoverageSpatial	Description	Contents	Contributor	Buckets	Category	NotebookPage	Deposit	BelowOther	CoverageTemporal	CoverageEarliest	CoverageLatest	RightsStatus	RightsSidelined	Relation	Coverage	Creator	Date	Format	Language	Publisher	Rights	Subject	CoverageAltitude	CoverageArea	CoverageCRS	CoverageCoordinates	CoverageCropped	CoverageEnvelopeXYZ	CoverageEnvelopeGEO	CoverageXYZ	CoverageGEO	CoverageJSON	CoveragePosition	CoverageSerialized	CoverageUTC	CoverageUnion	DateEarliestISO8601	DateLatestISO8601	DateModified	DateTimeZone	DateUTC	FormatDiameter	FormatHeight	FormatImage	FormatImageAnnotations	FormatImageHeight	FormatImageModificationDate	FormatImageTransformXYZ	FormatImageTransformGEO	FormatImageEnvelopeXYZ	FormatImageEnvelopeGEO	FormatImageWidth	FormatLength	FormatMaximumDimension	FormatPreservedHeight	FormatThickness	FormatWidth	IdentifierUUID	RelationBelongsTo	RelationBelongsToUUID	RelationCuts	RelationCutsUUID	RelationIncludes	RelationIncludesUUID	RelationIsAbove	RelationIsAboveUUID	RelationIsAfter	RelationIsAfterUUID	RelationIsBefore	RelationIsBeforeUUID	RelationIsBelow	RelationIsBelowUUID	RelationIsCoevalWith	RelationIsCoevalWithUUID	RelationIsCutBy	RelationIsCutByUUID	RelationIsNextTo	RelationIsNextToUUID	RightsDeleted	RightsLocked	RightsRating	RightsTrashed	Subtype	Phase	Period
ΒΘ West 2013	Context	0	Basket 0	2013-06-11T13:04:59Z	2013-06-11T13:04:59Z				ΒΘ West is located at K/1,18–2/20,3/18. Excavation of this area continues the work first begun in 2008. \n\nThe record of this season's excavations was written digitally in the field, and supplemented by hundreds of digital photographs (2013.15.0001-0714). These photographs document the excavation of each basket, as well as all pottery recovered from each basket before it was processed and lotted. The field notes were then copied into paper notebooks (ΒΘ XVIII, pp. 3401-3600, ΒΘ XX, pp. 3801-3879), supplemented there by additional black and white photographs, cross-sections, and plans. A table of contents for the notebook, a catalog of coins and finds from this season, and an index have been included with the final report stored in the Stoa of Attalos. \n\nNomenclature for Byzantine rooms, walls, and architectural features will continue to be used in the same manner as in previous excavation seasons. See ΒΘ XVIII, p. 3422 for the beginning of season plan labeled with room numbers, wall numbers, excavation areas, and cross-sections.\n\nThe 2013 season will focus on six excavation areas within ΒΘ West: Rooms 2, 3, and 4 will continue to be excavated, and high fill around these rooms will be divided into the North Baulk, the Eastern Section, and the Southern Section. See the beginning of season plan for further clarification of this season's excavation areas, indicated in green, and digital photographs 2013.15.0003, .0005, .0007, and .0011.\n\nExcavation of the North Baulk continues work started in 2012, and is divided into Western and Eastern Sections. The Western Section (K/9,11-3/1,2) includes a small portion of the Animal Pit excavated mainly in 2009 and 2010. The Eastern Section (K/12,18-3/3,9) is composed of two primary areas (Area I to the west, Area II to the east), along with two control baulks (μάρτυρες) separating the primary areas and a baulk separating ΒΘ East and West.\n\nThe Eastern Section will focus on the removal of fills adjacent to the eastern boundary of ΒΘ West, which is defined by Modern Concrete Foundation (MCF) 5. The Eastern Section will be divided into a Northeastern Area (K/13,16-3/7,11) and Southeastern Area (K/11,13-3/9,15).\n\nThe Southern Section (K/1,11-3/10,18) will continue work from the 2011 field season.\n\nFieldwork began with a thorough cleaning of the trench, including the removal of a substantial collapse of fill from the northern scarp of the trench, which was the result of an unusually heavy rainfall in February 2013. The results of these activities, as well as all future cleaning operations and their out-of-context finds, are recorded in Basket 0.				Cleaning	3426						All Done	0				11 juin 2013																				2013-06-11T16:04:59+0300	2013-06-11T16:04:59+0300	2014-07-28T12:25:29Z	Europe/Athens	2013-06-11T13:04:59Z																	AEF394AD-E157-48D5-9BB4-AB7260AE9A41					west:2019:f:1\nwest:2019:f:2\nwest:2019:f:3\nwest:2019:f:4\nwest:2019:f:5\nwest:2019:f:6\nwest:2019:f:7\nwest:2019:f:8\nwest:2019:f:10\nwest:2019:f:11\nwest:2019:f:35\nwest:2019:f:36\nwest:2019:f:38\nwest:2019:f:40\nwest:2019:f:44\nwest:2019:f:57\nwest:2019:f:58\nwest:2019:f:61\nwest:2019:f:64	176269FD-F4FD-4D2D-AA5E-6FFEA8616823\n1BC82964-2B2F-4D3F-9210-3E1593C29900\n2A9D3AB8-A787-4B0A-9F53-9FC82D77DB30\n2D992E76-8346-4517-BFE7-DEC776039E64\n31FC7C43-8752-420F-BA40-C92D4A09A731\n3AC6572A-4956-4B81-A285-C42A6F75B860\n6B26B6C8-564D-44F4-9906-57719B995CCF\n757826E1-86BB-4F69-84BF-17683C480D0D\n75B97592-FBB0-4695-AA57-BD1856B8163B\nD07626FA-2F2A-46B9-907F-7D408F5DF32B\nD0AC6B17-AC7A-4C4C-BF12-B24DEE0D977B\nD796346F-5179-4B53-AB94-7E273DC95278\nE284D92E-0F8C-4177-8486-F4B9317E4614\nE56A64B4-8159-4287-B2DD-48DDAADAA3D6\nE78EC1B5-8F77-4FDC-B2BF-8873FE42BDDF\nEA115EC8-CF01-4266-AF10-FB4345D61B29\nF110820B-59C0-4B80-B29C-3C35DD983156\nF58E8C1D-EFF8-4A68-9EAF-40CF891F83A1\nFE82906F-5385-4370-8473-04CAD812CF22															0	0		0			
ΒΘ West 2013	Context	1	Southern Section; Southwestern Area; Level 1	2013-06-17T06:42:02Z	2013-06-19T05:28:11Z				Open basket to investigate an area of high fill in the southwestern portion of the Southern Section. The excavation area is roughly rectangular in shape, measuring 3.35 m. east to west and 2.15 m. north to south, at its greatest extent.\n\nThe light brown fill is moderately compact, with inclusions of stone, tile, glass, and bone. There is a concentration of tile and large stone in the northwestern corner of the excavation area, consisting primarily of broken roof and floor tiles, and stones roughly 10-15 centimeters in diameter.\n\nAfter the first pass, the tile and stone concentration remains localized to the northwestern corner of the excavation area, and we close to remove the tile and stone in a separate context (Basket 6).	"fine sgraffito ware\nincised sgraffito ware\nmonochrame glaze\npithos rim fragment\ncoarse bases, handles, body sherds\nRoman red rim\ncombed ware\ncooking ware\ntile with red wash\nByzantine lamp fragment\n\nAll saved\n\nsherds: 152\n""classical black glaze"": 8"	Tori Harrison\nTheresa Chresand\nAnastasia Vassiliou	1	Fill	3431			12th-early 13th A.D.	1100	1225	Open	0				17–19 juin 2013						[53.823 TO 54.014]	6.841				ENVELOPE(403.434, 406.889, 347.158, 344.32)	ENVELOPE(23.72270673685292408095, 23.72274603118055225082, 37.97635394393885377440, 37.97632843338709562886)	GEOMETRYCOLLECTION(POLYGON Z ((404.246 347.119 54.014, 405.971 346.779 53.976, 406.284 346.424 53.957, 406.889 346.119 53.927, 406.695 344.336 53.866, 406.207 344.345 53.89, 406.183 344.519 53.898, 405.464 344.787 53.896, 405.096 344.94 53.908, 403.605 344.988 53.956, 403.434 345.091 53.961, 404.246 347.119 54.014)), POLYGON Z ((403.434 345.079 53.948, 405.26 344.978 53.885, 406.699 344.32 53.823, 406.843 346.117 53.926, 406.275 346.445 53.961, 405.994 346.746 53.955, 404.56 347.018 53.925, 404.183 347.158 53.985, 403.434 345.079 53.948)))	POLYGON ((23.72271694 37.97635344, 23.72273556 37.97635057, 23.72273708 37.97634922, 23.72273903 37.97634757, 23.72274159 37.97634641, 23.72274603 37.97634465, 23.7227441 37.97633024, 23.72274392 37.97632843, 23.72274351 37.97632858, 23.72273832 37.97632865, 23.72273804 37.97633021, 23.72272985 37.97633261, 23.72272566 37.97633398, 23.72270869 37.97633438, 23.72270699 37.97633518, 23.72270674 37.9763352, 23.72270678 37.97633528, 23.72270674 37.9763353, 23.72270722 37.97633628, 23.7227152 37.97635394, 23.72271694 37.97635344))		405.264, 345.692	n=open\nd=2013-06-17T06:59:43Z\nx=0X1.943EF9DB22D0EP+8\ny=0X1.5B1E76C8B4396P+8\nz=0X1.B01CAC083126FP+5\nv=0X1.7910C83FB72EAP+6\ns=0X1.DDA1CAC083127P+3\nhz=0X1.192530ECA8642P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T06:59:43Z\nx=0X1.95F89374BC6A8P+8\ny=0X1.5AC76C8B43958P+8\nz=0X1.AFCED916872BP+5\nv=0X1.7BFCDF0123457P+6\ns=0X1.A5A9FBE76C8B4P+3\nhz=0X1.1924C3B2A1908P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T06:59:43Z\nx=0X1.9648B43958106P+8\ny=0X1.5A6C8B439581P+8\nz=0X1.AFA7EF9DB22D1P+5\nv=0X1.7CE8641FDB975P+6\ns=0X1.99DB22D0E5604P+3\nhz=0X1.17DA4FA4FA4FBP+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T06:59:43Z\nx=0X1.96E395810624EP+8\ny=0X1.5A1E76C8B4396P+8\nz=0X1.AF6A7EF9DB22DP+5\nv=0X1.7E94320FEDCBBP+6\ns=0X1.855810624DD2FP+3\nhz=0X1.16EB60B60B60CP+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T06:59:43Z\nx=0X1.96B1EB851EB85P+8\ny=0X1.585604189374CP+8\nz=0X1.AEED916872B02P+5\nv=0X1.7FA58BF258BF3P+6\ns=0X1.870A3D70A3D71P+3\nhz=0X1.0E71EB851EB85P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T06:59:43Z\nx=0X1.9634FDF3B645AP+8\ny=0X1.585851EB851ECP+8\nz=0X1.AF1EB851EB852P+5\nv=0X1.7E4C83FB72EA6P+6\ns=0X1.967EF9DB22D0EP+3\nhz=0X1.0E781B4E81B4DP+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T06:59:43Z\nx=0X1.962ED916872BP+8\ny=0X1.5884DD2F1A9FCP+8\nz=0X1.AF2F1A9FBE76DP+5\nv=0X1.7E1A740DA740EP+6\ns=0X1.9753F7CED9168P+3\nhz=0X1.0F41111111112P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T06:59:43Z\nx=0X1.9576C8B439581P+8\ny=0X1.58C978D4FDF3BP+8\nz=0X1.AF2B020C49BA6P+5\nv=0X1.7CF49F49F49F5P+6\ns=0X1.AE7EF9DB22D0EP+3\nhz=0X1.1054FA4FA4FA4P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T06:59:43Z\nx=0X1.95189374BC6A8P+8\ny=0X1.58F0A3D70A3D7P+8\nz=0X1.AF4395810624EP+5\nv=0X1.7C30A3D70A3D7P+6\ns=0X1.BA6E978D4FDF4P+3\nhz=0X1.10E8091A2B3C3P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T06:59:43Z\nx=0X1.939AE147AE148P+8\ny=0X1.58FCED916872BP+8\nz=0X1.AFA5E353F7CEEP+5\nv=0X1.798048D159E26P+6\ns=0X1.E9DB22D0E5604P+3\nhz=0X1.10CD82D82D82EP+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T06:59:43Z\nx=0X1.936F1A9FBE76DP+8\ny=0X1.59174BC6A7EFAP+8\nz=0X1.AFB020C49BA5EP+5\nv=0X1.793BBBBBBBBBCP+6\ns=0X1.EF74BC6A7EF9EP+3\nhz=0X1.11271C71C71C8P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T06:59:43Z\nx=0X1.943EF9DB22D0EP+8\ny=0X1.5B1E76C8B4396P+8\nz=0X1.B01CAC083126FP+5\nv=0X1.7910C83FB72EAP+6\ns=0X1.DDA1CAC083127P+3\nhz=0X1.192530ECA8642P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\n\nn=close\nd=2013-06-19T05:28:11Z\nx=0X1.936F1A9FBE76DP+8\ny=0X1.5914395810625P+8\nz=0X1.AF95810624DD3P+5\nv=0X1.6DA5D4C3B2A19P+6\ns=0X1.BA6E978D4FDF4P+3\nhz=0X1.0156E5D4C3B29P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-19T05:28:11Z\nx=0X1.95428F5C28F5CP+8\ny=0X1.58FA5E353F7CFP+8\nz=0X1.AF147AE147AE1P+5\nv=0X1.6FA61D950C84P+6\ns=0X1.82872B020C49CP+3\nhz=0X1.FDF3333333333P+7\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-19T05:28:11Z\nx=0X1.96B2F1A9FBE77P+8\ny=0X1.5851EB851EB85P+8\nz=0X1.AE95810624DD3P+5\nv=0X1.71C68ACF1357AP+6\ns=0X1.5D1EB851EB852P+3\nhz=0X1.F354E81B4E81EP+7\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-19T05:28:11Z\nx=0X1.96D7CED916873P+8\ny=0X1.5A1DF3B645A1DP+8\nz=0X1.AF6872B020C4AP+5\nv=0X1.70130ECA8642P+6\ns=0X1.48E5604189375P+3\nhz=0X1.02D2468ACF136P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-19T05:28:11Z\nx=0X1.9646666666666P+8\ny=0X1.5A71EB851EB85P+8\nz=0X1.AFB020C49BA5EP+5\nv=0X1.6EF7C048D159EP+6\ns=0X1.58E5604189375P+3\nhz=0X1.051EDCBA98764P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-19T05:28:11Z\nx=0X1.95FE76C8B4396P+8\ny=0X1.5ABEF9DB22D0EP+8\nz=0X1.AFA3D70A3D70AP+5\nv=0X1.6EEFC962FC963P+6\ns=0X1.607AE147AE148P+3\nhz=0X1.06E4B17E4B17EP+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-19T05:28:11Z\nx=0X1.948F5C28F5C29P+8\ny=0X1.5B049BA5E353FP+8\nz=0X1.AF66666666666P+5\nv=0X1.6EB6E5D4C3B2AP+6\ns=0X1.8D374BC6A7EFAP+3\nhz=0X1.08F60B60B60B6P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-19T05:28:11Z\nx=0X1.942ED916872BP+8\ny=0X1.5B2872B020C4AP+8\nz=0X1.AFE147AE147AEP+5\nv=0X1.6D6E5D4C3B2A1P+6\ns=0X1.98D4FDF3B645AP+3\nhz=0X1.09BC048D159E3P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-19T05:28:11Z\nx=0X1.936F1A9FBE76DP+8\ny=0X1.5914395810625P+8\nz=0X1.AF95810624DD3P+5\nv=0X1.6DA5D4C3B2A19P+6\ns=0X1.BA6E978D4FDF4P+3\nhz=0X1.0156E5D4C3B29P+8\nh=0X1.8CCCCCCCCCCCDP+0	[1100 TO 1225]		2013-06-17T09:42:02+0300	2013-06-19T08:28:11+0300	2014-11-11T08:51:58Z	Europe/Athens	[2013-06-17T06:42:02Z TO 2013-06-19T05:28:11Z]																	BB511E70-A54B-41AD-94C1-5CF839F25AD4	Lot ΒΘ 572\nSection 4 (ΒΘ West 2013)\nSection 6 (ΒΘ West 2013)	266422EC-4470-4030-8F96-49F6351E7633\n54FF1B84-F4A1-4EB0-A352-87D8859FE3EA\nA592F276-A6A9-4078-B2D8-1D6D889674BF					west:2019:b:6\nwest:2019:b:24	3EE6BB67-C35B-46DD-8D4A-3E6A7C9F00FF\nD3865B3B-2DEC-4E9E-B83E-E7777FDFB670	west:2019:b:6\nwest:2019:b:24	3EE6BB67-C35B-46DD-8D4A-3E6A7C9F00FF\nD3865B3B-2DEC-4E9E-B83E-E7777FDFB670											0	0		0			
ΒΘ West 2013	Context	2	North Baulk; Western Section; Level 1	2013-06-17T10:05:15Z	2013-06-20T04:23:39Z				Open basket to begin removal of the westernmost portion of the North Baulk, which had been left unexcavated during the 2012 season. The fill had been isolated in 2012 because of animal bones visible within the scarp, likely a continuation of the Animal Pit (see ΒΘ Lots 96-101, 129-130, 236-238, and 409).\n\nThe excavation area is rectangular in shape, measuring approximately 0.50 m. northeast to southwest, and 1.75 m. northwest to southeast. The fill is greyish brown in color and moderately compact. Inclusions: small and medium sized stones, tile, small flecks of charcoal and plaster, including a large piece of plaster with a smooth surface (ca. 11 x 14 cm.).\n\nAs we descend with successive passes, we come down on patches of silty fill in the northwest portion of the excavation area, similar to the fill that surrounded the Animal Pit. We close basket.	"monochrome sgraffito\nmonochrome glaze\ncombed ware\namphora toe\ncoarse rims, handles, body sherds\ncooking ware\nmicaceous body\nroof tile fragments\nHellenistic mold made body\n\nbone\nplaster\nconcrete\nmarble revetment\n\nsherds: 72\n""classical black glaze"": 5"	Artemios Sachtouris	1	Fill	3433			13th-14th A.D.	1200	1400	Open	0				17–20 juin 2013						[55.017 TO 55.178]	1.052				ENVELOPE(408.606, 410.257, 359.804, 358.322)	ENVELOPE(23.72276518170094306015, 23.72278399150441430265, 37.97646798991316785532, 37.97645466155380233886)	GEOMETRYCOLLECTION(POLYGON Z ((410.257 358.739 55.156, 409.9 358.322 55.145, 408.61 359.332 55.162, 408.619 359.449 55.15, 408.876 359.804 55.178, 410.257 358.739 55.156)), POLYGON Z ((408.606 359.35 55.038, 408.859 359.776 55.056, 410.237 358.733 55.053, 410.023 358.389 55.035, 409.841 358.327 55.027, 409.353 358.593 55.017, 408.606 359.35 55.038)))	POLYGON ((23.72278399 37.97645843, 23.72278332 37.9764578, 23.72278134 37.97645527, 23.72278028 37.97645498, 23.72277994 37.97645466, 23.72277969 37.97645482, 23.72277927 37.97645471, 23.72277371 37.97645709, 23.72276592 37.97646331, 23.72276523 37.97646373, 23.72276524 37.97646385, 23.72276518 37.97646389, 23.72276525 37.97646399, 23.72276533 37.97646479, 23.72276824 37.97646799, 23.72278399 37.97645843))		409.403, 359.015	n=open\nd=2013-06-17T10:09:00Z\nx=0X1.9A41CAC083127P+8\ny=0X1.66BD2F1A9FBE7P+8\nz=0X1.B93F7CED91687P+5\nv=0X1.586C16C16C16CP+6\ns=0X1.9483126E978D5P+3\nhz=0X1.487950C83FB71P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T10:09:00Z\nx=0X1.99E6666666666P+8\ny=0X1.66526E978D4FEP+8\nz=0X1.B928F5C28F5C3P+5\nv=0X1.5870A3D70A3D7P+6\ns=0X1.8F74BC6A7EF9EP+3\nhz=0X1.4611D950C83FBP+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T10:09:00Z\nx=0X1.989C28F5C28F6P+8\ny=0X1.6754FDF3B645AP+8\nz=0X1.B94BC6A7EF9DBP+5\nv=0X1.59E26AF37C049P+6\ns=0X1.C189374BC6A7FP+3\nhz=0X1.44002468ACF12P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T10:09:00Z\nx=0X1.989E76C8B4396P+8\ny=0X1.6772F1A9FBE77P+8\nz=0X1.B933333333333P+5\nv=0X1.5A2C5F92C5F93P+6\ns=0X1.C45A1CAC08312P+3\nhz=0X1.444E93E93E94P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T10:09:00Z\nx=0X1.98E04189374BCP+8\ny=0X1.67CDD2F1A9FBEP+8\nz=0X1.B96C8B439581P+5\nv=0X1.59DC28F5C28F6P+6\ns=0X1.C90E560418937P+3\nhz=0X1.45FB2A1907F6EP+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=open\nd=2013-06-17T10:09:00Z\nx=0X1.9A41CAC083127P+8\ny=0X1.66BD2F1A9FBE7P+8\nz=0X1.B93F7CED91687P+5\nv=0X1.586C16C16C16CP+6\ns=0X1.9483126E978D5P+3\nhz=0X1.487950C83FB71P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\n\nn=close\nd=2013-06-20T04:23:39Z\nx=0X1.989B22D0E5604P+8\ny=0X1.675999999999AP+8\nz=0X1.B84DD2F1A9FBEP+5\nv=0X1.5A587654320FFP+6\ns=0X1.C353F7CED9168P+3\nhz=0X1.43A0B60B60B61P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-20T04:23:39Z\nx=0X1.98DBE76C8B439P+8\ny=0X1.67C6A7EF9DB23P+8\nz=0X1.B872B020C49BAP+5\nv=0X1.5A3F258BF258CP+6\ns=0X1.C9C28F5C28F5CP+3\nhz=0X1.45749F49F49F4P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-20T04:23:39Z\nx=0X1.9A3CAC083126FP+8\ny=0X1.66BBA5E353F7DP+8\nz=0X1.B86C8B439581P+5\nv=0X1.5888888888889P+6\ns=0X1.95BA5E353F7CFP+3\nhz=0X1.47EB851EB851FP+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-20T04:23:39Z\nx=0X1.9A05E353F7CEEP+8\ny=0X1.666395810624EP+8\nz=0X1.B847AE147AE14P+5\nv=0X1.58A6F8091A2B4P+6\ns=0X1.903126E978D5P+3\nhz=0X1.463F6E5D4C3B3P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-20T04:23:39Z\nx=0X1.99D74BC6A7EFAP+8\ny=0X1.6653B645A1CACP+8\nz=0X1.B8374BC6A7EFAP+5\nv=0X1.58DCBA9876543P+6\ns=0X1.91CAC083126E9P+3\nhz=0X1.45669D0369D03P+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-20T04:23:39Z\nx=0X1.995A5E353F7CFP+8\ny=0X1.6697CED916873P+8\nz=0X1.B822D0E560419P+5\nv=0X1.599D0369D036AP+6\ns=0X1.A1B22D0E56042P+3\nhz=0X1.444B851EB851FP+8\nh=0X1.8CCCCCCCCCCCDP+0\n\nn=close\nd=2013-06-20T04:23:39Z\nx=0X1.989B22D0E5604P+8\ny=0X1.675999999999AP+8\nz=0X1.B84DD2F1A9FBEP+5\nv=0X1.5A587654320FFP+6\ns=0X1.C353F7CED9168P+3\nhz=0X1.43A0B60B60B61P+8\nh=0X1.8CCCCCCCCCCCDP+0	[1200 TO 1400]		2013-06-17T13:05:15+0300	2013-06-20T07:23:39+0300	2014-11-11T08:51:58Z	Europe/Athens	[2013-06-17T10:05:15Z TO 2013-06-20T04:23:39Z]																	B7437631-7830-4D90-B8AD-5C232BA61440	Lot ΒΘ 534\nSection 9 (ΒΘ West 2013)	A7A70827-12EA-4173-946B-D73C7F049D3E\nBEDDE038-D414-442A-AD37-900F3EFD547D					west:2019:b:17	CB4DD6EB-4779-49CA-9429-E62F8EBB3F68	west:2019:b:17	CB4DD6EB-4779-49CA-9429-E62F8EBB3F68											0	0		0			
